-16.000000	-16.000000	-0.000000	-1.373707	-2.289512	2.289512
-16.000000	-16.000000	0.100000	-1.365523	-2.297827	2.330759
-16.000000	-16.000000	0.200000	-1.358538	-2.307200	2.371654
-16.000000	-16.000000	0.300000	-1.352737	-2.317605	2.412171
-16.000000	-16.000000	0.400000	-1.348102	-2.329015	2.452283
-16.000000	-16.000000	0.500000	-1.344617	-2.341404	2.491966
-16.000000	-16.000000	0.600000	-1.342266	-2.354744	2.531195
-16.000000	-16.000000	0.700000	-1.341031	-2.369009	2.569946
-16.000000	-16.000000	0.800000	-1.340894	-2.384172	2.608195
-16.000000	-16.000000	0.900000	-1.341837	-2.400206	2.645922
-16.000000	-16.000000	1.000000	-1.343844	-2.417085	2.683102
-16.000000	-16.000000	1.100000	-1.346895	-2.434781	2.719717
-16.000000	-16.000000	1.200000	-1.350972	-2.453269	2.755744
-16.000000	-16.000000	1.300000	-1.356056	-2.472522	2.791164
-16.000000	-16.000000	1.400000	-1.362129	-2.492512	2.825958
-16.000000	-16.000000	1.500000	-1.369173	-2.513215	2.860107
-16.000000	-16.000000	1.600000	-1.377167	-2.534604	2.893593
-16.000000	-16.000000	1.700000	-1.386093	-2.556652	2.926398
-16.000000	-16.000000	1.800000	-1.395931	-2.579333	2.958506
-16.000000	-16.000000	1.900000	-1.406662	-2.602623	2.989901
-16.000000	-16.000000	2.000000	-1.418267	-2.626494	3.020566
-16.000000	-16.000000	2.100000	-1.430726	-2.650921	3.050487
-16.000000	-16.000000	2.200000	-1.444019	-2.675879	3.079648
-16.000000	-16.000000	2.300000	-1.458127	-2.701342	3.108037
-16.000000	-16.000000	2.400000	-1.473030	-2.727285	3.135638
-16.000000	-16.000000	2.500000	-1.488707	-2.753683	3.162440
-16.000000	-16.000000	2.600000	-1.505140	-2.780511	3.188429
-16.000000	-16.000000	2.700000	-1.522307	-2.807745	3.213594
-16.000000	-16.000000	2.800000	-1.540189	-2.835359	3.237923
-16.000000	-16.000000	2.900000	-1.558767	-2.863329	3.261406
-16.000000	-16.000000	3.000000	-1.578019	-2.891631	3.284031
-16.000000	-16.000000	3.100000	-1.597926	-2.920241	3.305788
-16.000000	-16.000000	3.200000	-1.618467	-2.949135	3.326669
-16.000000	-16.000000	3.300000	-1.639624	-2.978289	3.346663
-16.000000	-16.000000	3.400000	-1.661374	-3.007680	3.365763
-16.000000	-16.000000	3.500000	-1.683699	-3.037283	3.383960
-16.000000	-16.000000	3.600000	-1.706579	-3.067077	3.401246
-16.000000	-16.000000	3.700000	-1.729992	-3.097038	3.417614
-16.000000	-16.000000	3.800000	-1.753919	-3.127142	3.433057
-16.000000	-16.000000	3.900000	-1.778341	-3.157368	3.447570
-16.000000	-16.000000	4.000000	-1.803236	-3.187693	3.461144
-16.000000	-16.000000	4.100000	-1.828584	-3.218095	3.473776
-16.000000	-16.000000	4.200000	-1.854367	-3.248551	3.485460
-16.000000	-16.000000	4.300000	-1.880563	-3.279039	3.496191
-16.000000	-16.000000	4.400000	-1.907153	-3.309538	3.505965
-16.000000	-16.000000	4.500000	-1.934116	-3.340027	3.514778
-16.000000	-16.000000	4.600000	-1.961433	-3.370483	3.522626
-16.000000	-16.000000	4.700000	-1.989084	-3.400887	3.529506
-16.000000	-16.000000	4.800000	-2.017049	-3.431215	3.535416
-16.000000	-16.000000	4.900000	-2.045308	-3.461449	3.540353
-16.000000	-16.000000	5.000000	-2.073841	-3.491568	3.544316
-16.000000	-16.000000	5.100000	-2.102629	-3.521550	3.547302
-16.000000	-16.000000	5.200000	-2.131652	-3.551376	3.549310
-16.000000	-16.000000	5.300000	-2.160890	-3.581026	3.550341
-16.000000	-16.000000	5.400000	-2.190323	-3.610480	3.550392
-16.000000	-16.000000	5.500000	-2.219933	-3.639719	3.549465
-16.000000	-16.000000	5.600000	-2.249698	-3.668722	3.547560
-16.000000	-16.000000	5.700000	-2.279601	-3.697472	3.544676
-16.000000	-16.000000	5.800000	-2.309621	-3.725948	3.540817
-16.000000	-16.000000	5.900000	-2.339740	-3.754133	3.535982
-16.000000	-16.000000	6.000000	-2.369937	-3.782007	3.530174
-16.000000	-16.000000	6.100000	-2.400194	-3.809552	3.523395
-16.000000	-16.000000	6.200000	-2.430492	-3.836751	3.515648
-16.000000	-16.000000	6.300000	-2.460810	-3.863584	3.506935
-16.000000	-16.000000	6.400000	-2.491131	-3.890035	3.497261
-16.000000	-16.000000	6.500000	-2.521436	-3.916087	3.486628
-16.000000	-16.000000	6.600000	-2.551704	-3.941720	3.475040
-16.000000	-16.000000	6.700000	-2.581919	-3.966920	3.462503
-16.000000	-16.000000	6.800000	-2.612060	-3.991669	3.449021
-16.000000	-16.000000	6.900000	-2.642110	-4.015950	3.434599
-16.000000	-16.000000	7.000000	-2.672049	-4.039747	3.419243
-16.000000	-16.000000	7.100000	-2.701860	-4.063043	3.402959
-16.000000	-16.000000	7.200000	-2.731523	-4.085824	3.385753
-16.000000	-16.000000	7.300000	-2.761022	-4.108074	3.367631
-16.000000	-16.000000	7.400000	-2.790336	-4.129777	3.348601
-16.000000	-16.000000	7.500000	-2.819449	-4.150917	3.328670
-16.000000	-16.000000	7.600000	-2.848343	-4.171482	3.307846
-16.000000	-16.000000	7.700000	-2.877000	-4.191454	3.286136
-16.000000	-16.000000	7.800000	-2.905401	-4.210821	3.263550
-16.000000	-16.000000	7.900000	-2.933531	-4.229569	3.240096
-16.000000	-16.000000	8.000000	-2.961370	-4.247683	3.215783
-16.000000	-16.000000	8.100000	-2.988902	-4.265150	3.190621
