2011.95151219	-30.48	-329.489	1922.983	-1.74
2011.95872313	443.789	-311.81	1907.743	-1.81
2012.02198228	481.279	-263.957	1939.138	-1.17
2012.02452927	453.238	-268.834	1944.319	-1.23
2012.03347913	-732.434	-143.866	1844.954	-1.52
2012.04551671	-637.337	-176.479	1934.87	-0.71
2012.05312527	468.173	-316.687	1955.292	-1.46
2012.06252592	463.296	-263.347	1929.079	-1.43
2012.06252598	354.482	-323.088	1922.678	-1.19
2012.06288396	469.697	-253.594	1940.966	-1.36
2012.06334322	437.083	-291.084	1920.545	-1.68
2012.06669053	486.156	98.146	2005.889	-0.98
2012.06669192	472.135	84.43	2003.146	-1.16
2012.07358430	674.827	-36.576	1963.522	-0.93
2012.07641075	-853.44	-152.4	1889.76	-0.5
2012.08039369	452.323	537.972	1991.868	-0.6
2012.10526919	-616.306	-219.151	1908.962	-1.31
2012.10526922	-687.324	-167.03	1931.518	-0.69
2012.10863767	587.959	10.363	1980.286	-1.01
2012.11837209	538.582	103.937	1968.398	-0.81
2012.11879528	529.133	61.265	1972.97	-0.75
2012.11933515	454.152	-262.433	1971.446	-0.82
2012.12061225	676.351	-70.104	2016.557	-1.2
2012.12085558	676.961	2.438	1999.488	-0.69
2012.12112908	488.899	-242.621	1969.008	-0.43
2012.12128267	529.742	49.682	1958.645	-0.32
2012.12130903	519.989	38.405	1969.008	-0.92
2012.12173641	478.536	105.156	1966.57	-1.16
2012.13275018	541.325	-213.665	1972.666	-0.25
2012.13489917	505.358	-221.894	1980.286	-0.56
2012.13500548	537.972	-204.216	1982.419	-1.03
2012.13514900	420.624	-274.625	1979.981	0.4
2012.13535066	521.208	-258.775	1998.574	-1.21
2012.13677805	472.745	-238.658	1972.361	-0.11
2012.13687074	443.179	-250.241	1965.655	0.11
2012.13751106	957.377	459.334	2001.012	-1.28
2012.13888651	618.439	-12.497	1966.874	-0.48
2012.14040035	480.974	274.32	1928.774	-0.83
2012.14150056	640.08	66.142	1975.409	-0.66
2012.14356012	488.29	96.317	1995.221	-0.72
2012.14356016	494.081	128.016	2040.026	-0.18
2012.14356025	505.054	90.526	2043.989	-1.06
2012.14356070	442.874	143.866	1961.388	-1.25
2012.14356323	492.252	109.118	1988.515	-0.66
2012.14423337	954.634	446.532	2045.513	-1.15
2012.14506794	670.255	-95.402	2016.252	-0.94
2012.14618108	635.508	23.47	2014.728	-0.88
2012.14837900	663.854	108.509	2004.365	-0.9
2012.14900876	666.902	37.795	1969.008	-1.53
2012.14921543	518.77	136.855	2003.45	-1.14
2012.14938560	537.972	110.642	1985.162	-0.81
2012.15156878	511.759	109.423	2003.755	-0.67
2012.15173844	486.766	91.745	2011.07	-0.71
2012.15173885	524.256	84.125	2021.738	-1.06
2012.15173917	480.365	131.064	1994.611	-1.2
2012.15175270	534.924	91.44	2032.406	-0.83
2012.15184076	454.152	133.198	2040.026	-0.72
2012.15184349	511.759	101.194	2011.375	-1.14
2012.15184843	534.924	99.06	2025.091	-1.04
2012.15184852	513.893	113.995	2015.338	-1.24
2012.15184909	505.663	115.824	2018.69	-1.09
2012.15185058	489.204	125.578	2001.012	-1.25
2012.15185366	504.749	110.033	2009.851	-0.91
2012.15185442	490.118	107.594	2008.327	-0.73
2012.15185445	491.947	98.146	2011.07	-0.72
2012.15267169	512.369	128.626	2012.594	-1.04
2012.15267235	536.753	107.594	2020.519	-1.23
2012.15283897	507.492	110.947	2054.962	-1.2
2012.15504813	569.976	104.546	2034.54	-1.27
2012.15624227	512.978	117.043	2023.262	-1.02
2012.15626882	515.417	124.663	2017.166	-0.92
2012.15628064	554.431	125.273	2025.396	-1.2
2012.15628277	505.358	105.156	2005.279	-0.78
2012.15628280	542.239	94.488	2018.995	-1.04
2012.15628286	506.273	113.69	2005.889	-1.01
2012.15628391	505.054	106.07	2008.937	-0.79
2012.15628479	518.16	131.674	2002.231	-1.25
2012.15628853	541.02	112.776	2060.753	-0.91
2012.15629066	509.321	119.482	2009.546	-0.52
2012.15629287	519.074	124.054	2011.68	-1.1
2012.15629313	520.903	134.112	2007.108	-1.14
2012.15630441	510.845	121.615	2009.546	-0.41
2012.15630450	509.321	124.054	2012.899	-0.33
2012.15630460	508.102	116.738	2020.214	-1.08
2012.15630511	514.807	117.653	2021.738	-1.02
2012.15630568	523.646	120.091	2008.327	-1.14
2012.15630723	507.492	112.776	2015.642	-0.95
2012.15630739	510.235	114.605	2012.594	0.02
2012.15630850	536.143	155.143	2005.279	-1.28
2012.15630903	524.866	120.396	2001.317	-1.19
2012.15630929	510.845	124.968	2018.386	-0.37
2012.15630957	506.578	128.626	2005.279	-0.01
2012.15631024	522.732	131.369	2005.889	-1.06
2012.15631033	529.742	118.567	2008.327	-1.18
2012.15631052	513.893	119.786	2012.899	-0.82
2012.15631132	522.732	148.742	2008.022	-0.31
2012.15631141	513.893	135.331	2011.07	-0.84
2012.15631163	506.882	127.711	2013.814	-0.28
2012.15631173	508.711	121.006	2018.386	-0.08
2012.15631236	516.636	148.438	1998.878	-1.07
2012.15631426	515.112	125.578	1999.183	-0.84
2012.15631433	506.578	114.605	2006.498	-0.39
2012.15631455	519.379	127.406	2013.814	-0.59
2012.15631534	522.122	123.139	2001.926	-1.21
2012.15631566	516.026	121.615	2025.091	-1.02
2012.15631582	514.807	128.93	2018.69	-0.82
2012.15631623	530.962	162.458	2013.509	-1.15
2012.15631937	518.16	131.369	2024.482	-1
2012.15632047	538.886	155.143	1999.793	-1.29
2012.15632361	480.06	72.542	2019.3	-1.14
