2001.17	1244222.00	2868945.00
2001.25	1560098.00	3513838.00
2001.33	1477081.00	3350161.00
2001.42	1432279.00	3196607.00
2001.50	1485808.00	3278044.00
2001.58	1475521.00	3410167.00
2001.67	1403061.00	3262321.00
2001.75	1357139.00	3130542.00
2001.83	1450063.00	3179195.00
2001.92	1486151.00	3175075.00
2002.00	1673562.00	3341572.00
2002.08	1607432.00	3217997.00
2002.17	1390540.00	2914535.00
2002.25	1442816.00	3019025.00
2002.33	1324877.00	2754038.00
2002.42	1483382.00	3049925.00
2002.50	1313854.00	2892635.00
2002.58	1302293.00	3037559.00
2002.67	1290459.00	2977863.00
2002.75	1863890.00	2905797.00
2002.83	1470623.00	2913739.00
2002.92	1451750.00	2829339.00
2003.00	1451750.00	2930854.00
2003.08	1544163.00	2877944.00
2003.17	1366001.00	2494378.00
2003.25	1605741.00	2893181.00
2003.33	1460687.00	2713974.00
2003.42	1485103.00	2833503.00
2003.50	1369681.00	2890100.00
2003.58	1233125.00	2962907.00
2003.67	1338058.00	2985365.00
2003.75	1309761.00	3012101.00
2003.83	1364611.00	3086493.00
2003.92	1317925.00	2838555.00
2004.00	1379458.00	2968884.00
2004.08	1524432.00	3052289.00
2004.17	1379902.00	2771823.00
2004.25	1335020.00	2920455.00
2004.33	1226264.00	2746681.00
2004.42	1308373.00	2835616.00
2004.50	1287658.00	3030182.00
2004.58	1318783.00	3080443.00
2004.67	1277794.00	3060399.00
2004.75	1195800.00	2954160.00
2004.83	1262994.00	3044161.00
2004.92	1327326.00	2903916.00
2005.00	1445021.00	2955045.00
2005.08	1424410.00	2987643.00
2005.17	1398345.00	2763494.00
2005.25	1415478.00	2996953.00
2005.33	1256268.00	2713626.00
2005.42	1210832.00	2695124.00
2005.50	1149801.00	2778359.00
2005.58	1122824.00	2877819.00
2005.67	1165795.00	2874298.00
2005.75	1195547.00	2828155.00
2005.83	1299014.00	2866380.00
2005.92	1329692.00	2650535.00
2006.00	1313488.00	2742800.00
2006.08	1362646.00	2900115.00
2006.17	1248319.00	2470802.00
2006.25	1507678.00	2660095.00
2006.33	1391474.00	2489923.00
2006.42	1021444.00	2280587.00
2006.50	1153501.00	2819302.00
2006.58	1122530.00	2962177.00
2006.67	1154844.00	2933176.00
2006.75	1178581.00	2790403.00
2006.83	1240458.00	2868225.00
2006.92	1215528.00	2714209.00
2007.00	1102546.00	2702309.00
2007.08	1206555.00	2588726.00
2007.17	1199392.00	2409152.00
2007.25	1167337.00	2437169.00
2007.33	1163980.00	2237617.00
2007.42	1243775.00	2600826.00
2007.50	1074830.00	2653938.00
2007.58	1051022.00	2719625.00
2007.67	1156099.00	2693392.00
2007.75	1063836.00	2583463.00
2007.83	1064084.00	2665903.00
2007.92	1030530.00	2525689.00
2008.00	1296800.00	2668918.00
2008.08	1282840.00	2671424.00
2008.17	1013825.00	2293567.00
2008.25	1116964.00	2468612.00
2008.33	1056407.00	2384037.00
2008.42	1001591.00	2446784.00
2008.50	927230.00	2628989.00
2008.58	926242.00	2724079.00
2008.67	1015742.00	2880952.00
2008.75	994913.00	2776154.00
2008.83	1116500.00	2870221.00
2008.92	1109726.00	2668289.00
2009.00	1109435.00	2490733.00
2009.08	1125648.00	2544390.00
2009.17	1156354.00	2500117.00
2009.25	1239172.00	2586322.00
2009.33	1012142.00	2290387.00
2009.42	983116.00	2731624.00
2009.50	942967.00	2680142.00
2009.58	906595.00	2650996.00
2009.67	905038.00	2582593.00
2009.75	988135.00	2702075.00
2009.83	1068486.00	2721022.00
2009.92	1011447.00	2552393.00
2010.00	972944.00	2585021.00
2010.08	1162785.00	2553861.00
2010.17	1040842.00	2201640.00
2010.25	1219894.00	2296543.00
2010.33	1063186.00	2032068.00
2010.42	918978.00	2128528.00
2010.50	844716.00	2244163.00
2010.58	790294.00	2287014.00
2010.67	976340.00	2380023.00
2010.75	1197250.00	2206585.00
2010.83	1105059.00	1710276.00
2010.92	1518272.00	2328814.00
2011.00	1509073.00	2445755.00
2011.08	1561315.00	2392750.00
2011.17	1438812.00	2138660.00
2011.25	1537818.00	2344642.00
2011.33	1068267.00	1977463.00
2011.42	1304112.00	2255875.00
2011.50	1255951.00	2228302.00
2011.58	1156113.00	2280573.00
2011.67	1207723.00	2304637.00
2011.75	1109484.00	2236108.00
2011.83	1488951.00	2397953.00
2011.92	1433785.00	2303592.00
2012.00	1462551.00	2340284.00
2012.08	1485383.00	2326758.00
2012.17	1381048.00	2197676.00
2012.25	1412254.00	2283694.00
2012.33	1350251.00	2209073.00
2012.42	1312093.00	2395586.00
2012.50	2285877.00	3833323.00
2012.58	123301.00	2479106.00
2012.67	1147746.00	2504333.00
2012.75	1221811.00	2475800.00
2012.83	1331142.00	2498723.00
2012.92	1274389.00	2363571.00
2013.00	1426278.00	2395183.00
2013.08	1488436.00	2403631.00
2013.17	1307157.00	2116543.00
2013.25	1309680.00	2296322.00
2013.33	1306480.00	2285769.00
2013.42	1339022.00	2352270.00
2013.50	1147062.00	2289075.00
2013.58	1174797.00	2360181.00
2013.67	1195057.00	2418924.00
2013.75	1138833.00	2198949.00
2013.83	1228208.00	1494269.00
2013.92	1199301.00	2254016.00
2014.00	1250604.00	2231772.00
2014.08	1215770.00	2113991.00
2014.17	1114419.00	1986418.00
2014.25	1163559.00	2073593.00
2014.33	1218845.00	1978892.00
2014.42	1175117.00	2226804.00
2014.50	1089525.00	2212389.00
2014.58	1009262.00	2305428.00
2014.67	1044758.00	2257882.00
2014.75	986719.00	2186293.00
2014.83	1042481.00	2223725.00
2014.92	1091651.00	2077139.00
2015.00	1192095.00	2226622.00
2015.08	1175041.00	2199395.00
2015.17	1001764.00	1892780.00
2015.25	1098949.00	2121091.00
2015.33	1096340.00	2065270.00
2015.42	1049291.00	2025182.00
2015.50	981784.00	2140966.00
2015.58	1018350.00	2152558.00
2015.67	945312.00	2169918.00
2015.75	907950.00	2028821.00
2015.83	1069298.00	2096138.00
2015.92	1040293.00	1875348.00
2016.00	1082142.00	1836469.00
2016.08	1046296.00	1812887.00
2016.17	911097.00	1736453.00
2016.25	992900.00	1895878.00
2016.33	907459.00	1793297.00
2016.42	770792.00	1781246.00
2016.50	734708.00	1999114.00
2016.58	827626.00	2135383.00
2016.67	803026.00	2108844.00
2016.75	747470.00	2003758.00
2016.83	825959.00	2001821.00
2016.92	881789.00	1918756.00
2017.00	986390.00	1999701.00
2017.08	1003237.00	1873922.00
2017.17	843689.00	1578396.00
2017.25	940424.00	1829043.00
2017.33	678161.00	1564580.00
2017.42	584071.00	1500074.00
2017.50	581258.00	1663200.00
2017.58	592224.00	1735822.00
2017.67	705910.00	1747094.00
2017.75	814814.00	1706794.00
2017.83	936312.00	1910147.00
2017.92	939433.00	1829008.00
2018.00	968219.00	1787097.00
2018.08	870014.00	1712057.00
2018.17	834034.00	1630949.00
2018.25	939262.00	1734139.00
2018.33	840473.00	1713008.00
2018.42	847848.00	1810152.00
2018.50	669693.00	1697817.00
2018.58	785259.00	1817172.00
2018.67	782823.00	1808346.00
2018.75	745535.00	1709600.00
2018.83	817240.00	1719928.00
2018.92	818101.00	1683291.00
2019.00	931650.00	1685065.00
2019.08	984120.00	1796102.00
2019.17	954403.00	1621738.00
2019.25	935545.00	1727327.00
2019.33	678960.00	1538935.00
2019.42	874513.00	1735110.00
2019.50	747831.00	1739902.00
2019.58	793229.00	1811237.00
2019.67	715234.00	1798443.00
2019.75	785701.00	1778125.00
2019.83	870515.00	1758332.00
2019.92	872503.00	1673930.00
2020.00	986620.00	1701371.00
2020.08	946175.00	1682126.00
2020.17	829664.00	1518846.00
2020.25	888987.00	1576176.00
2020.33	822421.00	1616400.00
2020.42	815118.00	2645822.00
2020.50	694724.00	1563553.00
2020.58	1065363.00	2864307.00
2020.67	636825.00	1662739.00
2020.75	598364.00	1641025.00
2020.83	595876.00	1693293.00
2020.92	653046.00	1703445.00
2021.00	680369.00	1717740.00
2021.08	692966.00	1739514.00
2021.17	623310.00	1629141.00
2021.25	645623.00	1778130.00
2021.33	504005.00	1462585.00
2021.42	522276.00	1561557.00
2021.50	479336.00	1518467.00
2021.58	477857.00	1549028.00
2021.67	494118.00	1555058.00
2021.75	502632.00	1512191.00
2021.83	595950.00	1561279.00
2021.92	572922.00	1493136.00
2022.00	655307.00	1522248.00
2022.08	563460.00	1618082.00
2022.17	499548.00	1429850.00
2022.25	587726.00	1582921.00
2022.33	664076.00	1523441.00
2022.42	501122.00	1761385.00
2022.50	493594.00	1699903.00
2022.58	482023.00	1751315.00
2022.67	543646.00	1821892.00
2022.75	523471.00	1711487.00
2022.83	516068.00	1669491.00
2022.92	639176.00	1592892.00
2023.00	686183.00	1625366.00
2023.08	1526908.00	3622797.00
2023.17	732651.00	1241285.00
2023.25	940618.00	1571000.00
2023.33	703994.00	1364430.00
2023.42	747616.00	1482531.00
2023.50	872930.00	1583594.00
2023.58	1851437.00	1571996.00
2023.67	723636.00	1605961.00
2023.75	755113.00	1533944.00
2023.83	777191.00	1592909.00
2023.92	895223.00	1556887.00
2024.00	826955.00	1349205.00
2024.08	883003.00	1588551.00
2024.17	1744531.00	3163769.00
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
