1981.02198	36.0835	-117.7755	5.26	2.18	6
1981.022524	36.09683	-117.76517	5.1	1.73	6
1981.022656	36.09883	-117.7795	9.03	1.92	6
1981.023398	36.10883	-117.769	7.62	1.63	6
1981.053492	35.994	-117.7575	5	1.8	6
1981.05907	36.016	-117.74317	0.67	1.35	6
1981.07654	36.133	-117.87783	0.67	2.19	6
1981.113071	35.98833	-117.8025	0.63	1.43	6
1981.113293	36.00317	-117.78917	4.8	1.39	6
1981.123428	35.987	-117.77517	11.39	1.63	6
1981.131472	36.003	-117.7425	3.85	1.91	6
1981.183741	36.0245	-117.84617	1.59	1.64	6
1981.183908	36.03817	-117.84467	4.4	1.79	6
1981.194571	36.03167	-117.84983	2.81	2.29	6
1981.194685	36.02967	-117.86383	10.42	2.09	6
1981.259248	36.029	-117.75317	6.81	2.46	6
1981.268668	36.13883	-117.8885	4.05	1.91	6
1981.280243	35.984	-117.73283	1.81	1.48	6
1981.284577	35.99151	-117.77146	4.456	1.99	4
1981.284788	36.00783	-117.783	2.49	1.8	6
1981.288989	35.99489	-117.77304	4.194	2.21	4
1981.295215	36.00467	-117.75533	4.36	2.17	6
1981.295275	35.978	-117.78867	5.06	1.5	6
1981.295317	35.97383	-117.73317	1.65	1.9	6
1981.300898	36.00958	-117.74365	4.462	0.7	4
1981.303074	36.00903	-117.74271	4.745	1.59	4
1981.303608	36.00804	-117.74314	4.393	1.1	4
1981.312959	36.00845	-117.74338	4.259	2.21	4
1981.312967	36.00956	-117.74338	4.278	1.1	4
1981.315408	36.00897	-117.7435	4.422	1.65	4
1981.321293	35.99267	-117.831	1.04	0.5	6
1981.323428	36.06083	-117.8658	1.889	1.57	5
1981.34584	36.1345	-117.83467	-1	1.4	6
1981.35165	36.00963	-117.74345	4.334	2.04	5
1981.352025	36.00824	-117.74306	4.401	2.36	5
1981.352027	36.00793	-117.74338	4.266	1.3	4
1981.352322	36.01057	-117.74416	4.21	2.35	5
1981.390914	36.0905	-117.87533	0.71	2.1	6
1981.390924	36.11823	-117.87695	6.034	3.09	5
1981.391046	36.10883	-117.89917	3.23	1.8	6
1981.39482	36.11865	-117.87763	5.615	2.67	3
1981.394894	36.11927	-117.87829	5.524	2.31	5
1981.396492	36.11865	-117.87843	5.348	2.59	3
1981.428174	35.99725	-117.77824	3.006	1.5	4
1981.433933	35.99857	-117.77534	3.149	1.5	4
1981.437726	35.98958	-117.77443	3.079	1.6	4
1981.438956	35.98937	-117.77443	3.102	0.9	4
