0	-1.821599
0.1	-2.100662
0.2	-2.375807
0.3	-2.647138
0.4	-2.914758
0.5	-3.178771
0.6	-3.439283
0.7	-3.696403
0.8	-3.950239
0.9	-4.200899
1	-4.448495
1.1	-4.693137
1.2	-4.934936
1.3	-5.174003
1.4	-5.41045
1.5	-5.644389
1.6	-5.875932
1.7	-6.10519
1.8	-6.332275
1.9	-6.557301
2	-6.780377
2.1	-7.001616
2.2	-7.221128
2.3	-7.439026
2.4	-7.65542
2.5	-7.87042
2.6	-8.084137
2.7	-8.296681
2.8	-8.508161
2.9	-8.718688
3	-8.928369
3.1	-9.137314
3.2	-9.345632
3.3	-9.55343
3.4	-9.760815
3.5	-9.967897
3.6	-10.17478
3.7	-10.381573
3.8	-10.58838
3.9	-10.795309
4	-11.002464
4.1	-11.209951
4.2	-11.417873
4.3	-11.626335
4.4	-11.835439
4.5	-12.04529
4.6	-12.255988
4.7	-12.467636
4.8	-12.680334
4.9	-12.894181
5	-13.109276
5.1	-13.325717
5.2	-13.543601
5.3	-13.763022
5.4	-13.984074
5.5	-14.206849
5.6	-14.431437
5.7	-14.657927
5.8	-14.886403
5.9	-15.116949
6	-15.349646
6.1	-15.58457
6.2	-15.821796
6.3	-16.061392
6.4	-16.303425
6.5	-16.547954
6.6	-16.795035
6.7	-17.044717
6.8	-17.297042
6.9	-17.552047
7	-17.809759
7.1	-18.070195
7.2	-18.333366
7.3	-18.599269
7.4	-18.867891
7.5	-19.139205
7.6	-19.413172
7.7	-19.689734
7.8	-19.968819
7.9	-20.250335
8	-20.534171
8.1	-20.820191
8.2	-21.108239
8.3	-21.398129
8.4	-21.689648
8.5	-21.982551
8.6	-22.27656
8.7	-22.571361
8.8	-22.866598
8.9	-23.161875
9	-23.456747
9.1	-23.750721
9.2	-24.04325
9.3	-24.333729
9.4	-24.621492
9.5	-24.905807
9.6	-25.185871
9.7	-25.460808
9.8	-25.729661
9.9	-25.991392
10	-26.244874
10.1	-26.488887
10.2	-26.722116
10.3	-26.943148
10.4	-27.150465
10.5	-27.342446
10.6	-27.517363
10.7	-27.67338
10.8	-27.808558
10.9	-27.920851
11	-28.008116
11.1	-28.068115
11.2	-28.098527
11.3	-28.096958
11.4	-28.060958
11.5	-27.988036
11.6	-27.875686
11.7	-27.721415
11.8	-27.522771
11.9	-27.277385
12	-26.98301
12.1	-26.637571
12.2	-26.23922
12.3	-25.786389
12.4	-25.277861
12.5	-24.712832
12.6	-24.090988
12.7	-23.412569
12.8	-22.678449
12.9	-21.890205
13	-21.05018
13.1	-20.161547
13.2	-19.22835
13.3	-18.255548
13.4	-17.249022
13.5	-16.215579
13.6	-15.162923
13.7	-14.099599
13.8	-13.034914
13.9	-11.978825
14	-10.941798
14.1	-9.934643
14.2	-8.968317
14.3	-8.053716
14.4	-7.201446
14.5	-6.42159
14.6	-5.723473
14.7	-5.11544
14.8	-4.604653
14.9	-4.196907
15	-3.896492
15.1	-3.706086
15.2	-3.626698
15.3	-3.657657
15.4	-3.796649
15.5	-4.039795
15.6	-4.381779
15.7	-4.816002
15.8	-5.334767
15.9	-5.929491
16	-6.590917
16.1	-7.309336
16.2	-8.074807
16.3	-8.877357
16.4	-9.707174
16.5	-10.55477
16.6	-11.411126
16.7	-12.267809
16.8	-13.117057
16.9	-13.951851
17	-14.765948
17.1	-15.553904
17.2	-16.311069
17.3	-17.03357
17.4	-17.718281
17.5	-18.362778
17.6	-18.965291
17.7	-19.524646
17.8	-20.040208
17.9	-20.51182
18	-20.939747
18.1	-21.32461
18.2	-21.667342
18.3	-21.969125
18.4	-22.231352
18.5	-22.455576
18.6	-22.643475
18.7	-22.796816
18.8	-22.917424
18.9	-23.007155
19	-23.067873
19.1	-23.101433
19.2	-23.109662
19.3	-23.094347
19.4	-23.057225
19.5	-22.999971
19.6	-22.9242
19.7	-22.831451
19.8	-22.723193
19.9	-22.600821
20	-22.465652
20.1	-22.318929
20.2	-22.16182
20.3	-21.99542
20.4	-21.820753
20.5	-21.638775
20.6	-21.450373
20.7	-21.256375
20.8	-21.057545
20.9	-20.854591
21	-20.648167
21.1	-20.438875
21.2	-20.227268
