,ID,Year,Mo,Da,Hr,Mi,Sec,X,Y,Z,MHEL,Detection,ERR1,ERR2,AZIM,ERRZ
54,0,2018,6,4,21,51,10.652,25491081,6675702,-6087,-1.15,1,999999,999999,999999,999999
55,0,2018,6,4,21,54,16.429,25491081,6675702,-6087,-1.06,1,999999,999999,999999,999999
56,0,2018,6,4,21,55,59.408,25491081,6675702,-6087,-1.26,1,999999,999999,999999,999999
57,0,2018,6,4,22,4,6.469,25491081,6675702,-6087,-1.16,1,999999,999999,999999,999999
58,0,2018,6,4,22,5,4.059,25491081,6675702,-6087,-0.87,1,999999,999999,999999,999999
59,0,2018,6,4,22,5,18.745,25491081,6675702,-6087,-1.22,1,999999,999999,999999,999999
60,0,2018,6,4,22,5,34.693,25491081,6675702,-6087,-1.09,1,999999,999999,999999,999999
61,0,2018,6,4,22,6,53.539,25491081,6675702,-6087,-1.15,1,999999,999999,999999,999999
62,0,2018,6,4,22,7,17.368,25491081,6675702,-6087,-0.59,1,999999,999999,999999,999999
63,631,2018,6,4,22,9,12.974,25491159.8,6675987.317,-6232,-0.69,0,124,38,152,42
64,0,2018,6,4,22,11,8.788,25491081,6675702,-6087,-0.85,1,999999,999999,999999,999999
65,0,2018,6,4,22,13,18.115,25491081,6675702,-6087,-0.99,1,999999,999999,999999,999999
66,634,2018,6,4,22,14,4.935,25491141.44,6675668.435,-5966,-0.52,0,38,21,169,34
67,0,2018,6,4,22,14,40.252,25491081,6675702,-6087,-1.29,1,999999,999999,999999,999999
68,0,2018,6,4,22,15,35.343,25491081,6675702,-6087,-1.3,1,999999,999999,999999,999999
69,0,2018,6,4,22,18,24.58,25491081,6675702,-6087,-0.99,1,999999,999999,999999,999999
70,0,2018,6,4,22,19,39.96,25491081,6675702,-6087,-0.71,1,999999,999999,999999,999999
71,0,2018,6,4,22,19,59.291,25491081,6675702,-6087,-1.16,1,999999,999999,999999,999999
72,0,2018,6,4,22,20,46.017,25491081,6675702,-6087,-1.36,1,999999,999999,999999,999999
73,0,2018,6,4,22,23,40.73,25491081,6675702,-6087,-1.36,1,999999,999999,999999,999999
74,0,2018,6,4,22,25,24.423,25491081,6675702,-6087,-1.33,1,999999,999999,999999,999999
75,0,2018,6,4,22,27,11.609,25491081,6675702,-6087,-1.16,1,999999,999999,999999,999999
76,0,2018,6,4,22,30,22.514,25491081,6675702,-6087,-0.84,1,999999,999999,999999,999999
77,0,2018,6,4,22,31,5.042,25491081,6675702,-6087,-1.02,1,999999,999999,999999,999999
78,0,2018,6,4,22,33,37.435,25491081,6675702,-6087,-1.35,1,999999,999999,999999,999999
79,0,2018,6,4,22,42,12.128,25491081,6675702,-6087,-1.34,1,999999,999999,999999,999999
80,0,2018,6,4,22,42,53.309,25491081,6675702,-6087,-1.17,1,999999,999999,999999,999999
81,0,2018,6,4,22,44,32.885,25491081,6675702,-6087,-1.3,1,999999,999999,999999,999999
82,0,2018,6,4,22,49,43.375,25491081,6675702,-6087,-1.05,1,999999,999999,999999,999999
83,0,2018,6,4,22,49,58.624,25491081,6675702,-6087,-1.36,1,999999,999999,999999,999999
84,0,2018,6,4,22,53,34.815,25491081,6675702,-6087,-0.83,1,999999,999999,999999,999999
85,0,2018,6,4,22,53,44.995,25491081,6675702,-6087,-1.36,1,999999,999999,999999,999999
86,0,2018,6,4,22,58,16.093,25491081,6675702,-6087,-1.37,1,999999,999999,999999,999999
87,647,2018,6,4,22,59,21.516,25491049.76,6675908.542,-6092,-0.02,0,77,39,169,58
88,0,2018,6,4,23,2,36.778,25491081,6675702,-6087,-1.15,1,999999,999999,999999,999999
89,0,2018,6,4,23,6,57.928,25491081,6675702,-6087,-1.34,1,999999,999999,999999,999999
90,0,2018,6,4,23,12,28.309,25491081,6675702,-6087,-1.32,1,999999,999999,999999,999999
91,0,2018,6,4,23,14,2.993,25491081,6675702,-6087,-0.92,1,999999,999999,999999,999999
92,0,2018,6,4,23,16,48.105,25491081,6675702,-6087,-1.11,1,999999,999999,999999,999999
93,0,2018,6,4,23,16,58.4,25491081,6675702,-6087,-1.19,1,999999,999999,999999,999999
94,0,2018,6,4,23,19,15.322,25491081,6675702,-6087,-1.35,1,999999,999999,999999,999999
95,0,2018,6,4,23,20,7.883,25491081,6675702,-6087,-0.81,1,999999,999999,999999,999999
96,0,2018,6,4,23,22,56.468,25491081,6675702,-6087,-1.26,1,999999,999999,999999,999999
97,0,2018,6,4,23,26,32.144,25491081,6675702,-6087,-1.15,1,999999,999999,999999,999999
98,0,2018,6,4,23,34,40.039,25491081,6675702,-6087,-1.3,1,999999,999999,999999,999999
99,0,2018,6,4,23,34,47.48,25491081,6675702,-6087,-1.01,1,999999,999999,999999,999999
100,0,2018,6,4,23,35,10.063,25491081,6675702,-6087,-1.28,1,999999,999999,999999,999999
101,0,2018,6,4,23,45,3.67,25491081,6675702,-6087,-0.36,1,999999,999999,999999,999999
102,0,2018,6,4,23,49,6.116,25491081,6675702,-6087,-1.2,1,999999,999999,999999,999999
103,0,2018,6,4,23,54,20.259,25491081,6675702,-6087,-1.05,1,999999,999999,999999,999999
104,0,2018,6,4,23,54,26.794,25491081,6675702,-6087,-1.32,1,999999,999999,999999,999999
105,0,2018,6,4,23,56,42.9,25491081,6675702,-6087,-1.32,1,999999,999999,999999,999999
106,0,2018,6,4,23,57,27.823,25491081,6675702,-6087,-1.01,1,999999,999999,999999,999999
107,0,2018,6,4,23,58,4.067,25491081,6675702,-6087,-0.77,1,999999,999999,999999,999999
108,0,2018,6,4,23,59,10.706,25491081,6675702,-6087,-1.12,1,999999,999999,999999,999999
109,0,2018,6,5,0,2,27.954,25491081,6675702,-6087,-1.15,1,999999,999999,999999,999999
110,0,2018,6,5,0,3,28.285,25491081,6675702,-6087,-1.1,1,999999,999999,999999,999999
